Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LGSTORE1 [J](Hourly),Electricity:Zone:LGSTORE2 [J](Hourly),Electricity:Zone:SMSTORE1 [J](Hourly),Electricity:Zone:SMSTORE2 [J](Hourly),Electricity:Zone:SMSTORE3 [J](Hourly),Electricity:Zone:SMSTORE4 [J](Hourly),Electricity:Zone:SMSTORE5 [J](Hourly),Electricity:Zone:SMSTORE6 [J](Hourly),Electricity:Zone:SMSTORE7 [J](Hourly),Electricity:Zone:SMSTORE8 [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/01  01:00:00,52859992.22,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,92701.51075,0,92701.51075,0,0,6567571.381,4853719.325,2833905.889,2833905.889,,,,,,,,,,,,,,,,,,,
 01/01  02:00:00,52904971.68,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,137680.9707,0,137680.9707,0,0,6567571.381,4853719.325,4221927.82,4221927.82,,,,,,,,,,,,,,,,,,,
 01/01  03:00:00,52913070.83,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,145780.1279,0,145780.1279,0,0,6567571.381,4853719.325,4453570.738,4453570.738,,,,,,,,,,,,,,,,,,,
 01/01  04:00:00,52984336.66,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,217045.9534,0,217045.9534,0,0,6567571.381,4853719.325,6683672.352,6683672.352,,,,,,,,,,,,,,,,,,,
 01/01  05:00:00,53052155.69,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,284864.9825,0,284864.9825,0,0,6567571.381,4853719.325,8736995.153,8736995.153,,,,,,,,,,,,,,,,,,,
 01/01  06:00:00,53136476,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,369185.2912,0,369185.2912,0,0,6567571.381,4853719.325,11427614.9,11427614.9,,,,,,,,,,,,,,,,,,,
 01/01  07:00:00,53169767.08,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,402476.3729,0,402476.3729,0,0,6567571.381,4853719.325,12418802.73,12418802.73,,,,,,,,,,,,,,,,,,,
 01/01  08:00:00,46208540.08,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,332249.3791,0,332249.3791,0,0,6567571.381,4853719.325,10250242.4,10250242.4,,,,,,,,,,,,,,,,,,,
 01/01  09:00:00,51188859.06,22842581.41,4626710.747,3344927.504,2313355.373,1955910.927,1955910.927,1955910.927,1672463.752,1672463.752,1672463.752,1672463.752,28346277.65,0,28346277.65,0,0,13135142.76,9707438.65,771638450.5,771638450.5,,,,,,,,,,,,,,,,,,,
 01/01  10:00:00,51188859.06,22842581.41,4626710.747,3344927.504,2313355.373,1955910.927,1955910.927,1955910.927,1672463.752,1672463.752,1672463.752,1672463.752,28346277.65,0,28346277.65,0,0,13135142.76,9707438.65,601239621.5,601239621.5,,,,,,,,,,,,,,,,,,,
 01/01  11:00:00,100301726,71955448.35,15271030.1,10143897.13,7635515.052,6205737.266,6205737.266,6205737.266,5071948.566,5071948.566,5071948.566,5071948.566,28346277.65,0,28346277.65,0,0,52540571.05,19414877.3,516898428,516898428,,,,,,,,,,,,,,,,,,,
 01/01  12:00:00,100301726,71955448.35,15271030.1,10143897.13,7635515.052,6205737.266,6205737.266,6205737.266,5071948.566,5071948.566,5071948.566,5071948.566,28346277.65,0,28346277.65,0,0,52540571.05,19414877.3,480702885.6,480702885.6,,,,,,,,,,,,,,,,,,,
 01/01  13:00:00,133043637.3,104697359.6,22367243.01,14676543.55,11183621.5,9038954.825,9038954.825,9038954.825,7338271.775,7338271.775,7338271.775,7338271.775,28346277.65,0,28346277.65,0,0,78810856.57,25886503.07,426959873.2,426959873.2,,,,,,,,,,,,,,,,,,,
 01/01  14:00:00,133043637.3,104697359.6,22367243.01,14676543.55,11183621.5,9038954.825,9038954.825,9038954.825,7338271.775,7338271.775,7338271.775,7338271.775,28346277.65,0,28346277.65,0,0,78810856.57,25886503.07,414082106.8,414082106.8,,,,,,,,,,,,,,,,,,,
 01/01  15:00:00,133043637.3,104697359.6,22367243.01,14676543.55,11183621.5,9038954.825,9038954.825,9038954.825,7338271.775,7338271.775,7338271.775,7338271.775,28346277.65,0,28346277.65,0,0,78810856.57,25886503.07,411946571.9,411946571.9,,,,,,,,,,,,,,,,,,,
 01/01  16:00:00,160607637.3,104697359.6,22367243.01,14676543.55,11183621.5,9038954.825,9038954.825,9038954.825,7338271.775,7338271.775,7338271.775,7338271.775,28346277.65,0,28346277.65,0,0,78810856.57,25886503.07,413450892.9,413450892.9,,,,,,,,,,,,,,,,,,,
 01/01  17:00:00,174389637.3,104697359.6,22367243.01,14676543.55,11183621.5,9038954.825,9038954.825,9038954.825,7338271.775,7338271.775,7338271.775,7338271.775,28346277.65,0,28346277.65,0,0,78810856.57,25886503.07,416800247.6,416800247.6,,,,,,,,,,,,,,,,,,,
 01/01  18:00:00,141647726,71955448.35,15271030.1,10143897.13,7635515.052,6205737.266,6205737.266,6205737.266,5071948.566,5071948.566,5071948.566,5071948.566,28346277.65,0,28346277.65,0,0,52540571.05,19414877.3,516043983.3,516043983.3,,,,,,,,,,,,,,,,,,,
 01/01  19:00:00,108905814.7,39213537.06,8174817.199,5611250.713,4087408.599,3372519.707,3372519.707,3372519.707,2805625.356,2805625.356,2805625.356,2805625.356,28346277.65,0,28346277.65,0,0,26270285.52,12943251.53,552240388.6,552240388.6,,,,,,,,,,,,,,,,,,,
 01/01  20:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 01/01  21:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 01/01  22:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 01/01  23:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 01/01  24:00:00,52856521.61,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,89230.90553,0,89230.90553,0,0,6567571.381,4853719.325,2727127.516,2727127.516,,,,,,,,,,,,,,,,,,,
 01/02  01:00:00,54486827.18,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,101630.0349,0,101630.0349,0,0,6567571.381,6471625.766,3105979.244,3105979.244,,,,,,,,,,,,,,,,,,,
 01/02  02:00:00,54588999.41,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,203802.2672,0,203802.2672,0,0,6567571.381,6471625.766,6229638.038,6229638.038,,,,,,,,,,,,,,,,,,,
 01/02  03:00:00,54714627.06,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,329429.9166,0,329429.9166,0,0,6567571.381,6471625.766,10147125.36,10147125.36,,,,,,,,,,,,,,,,,,,
 01/02  04:00:00,54922692.69,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,537495.5464,0,537495.5464,0,0,6567571.381,6471625.766,16587350.11,16587350.11,,,,,,,,,,,,,,,,,,,
 01/02  05:00:00,54832964.77,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,447767.6183,0,447767.6183,0,0,6567571.381,6471625.766,13787199.53,13787199.53,,,,,,,,,,,,,,,,,,,
 01/02  06:00:00,55051476.47,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,666279.3252,0,666279.3252,0,0,6567571.381,6471625.766,20559147.86,20559147.86,,,,,,,,,,,,,,,,,,,
 01/02  07:00:00,82731474.79,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,28346277.65,0,28346277.65,0,0,6567571.381,6471625.766,863029091.3,863029091.3,,,,,,,,,,,,,,,,,,,
 01/02  08:00:00,102014814.7,39213537.06,8174817.199,5611250.713,4087408.599,3372519.707,3372519.707,3372519.707,2805625.356,2805625.356,2805625.356,2805625.356,28346277.65,0,28346277.65,0,0,26270285.52,12943251.53,685737634.4,685737634.4,,,,,,,,,,,,,,,,,,,
 01/02  09:00:00,116672681.6,88326403.99,18819136.56,12410220.34,9409568.278,7622346.046,7622346.046,7622346.046,6205110.17,6205110.17,6205110.17,6205110.17,28346277.65,0,28346277.65,0,0,65675713.81,22650690.18,587387796.9,587387796.9,,,,,,,,,,,,,,,,,,,
 01/02  10:00:00,175684878.5,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,28346277.65,0,28346277.65,0,0,118216284.9,29122315.95,486758210.9,486758210.9,,,,,,,,,,,,,,,,,,,
 01/02  11:00:00,175684878.5,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,28346277.65,0,28346277.65,0,0,118216284.9,29122315.95,426227406.7,426227406.7,,,,,,,,,,,,,,,,,,,
 01/02  12:00:00,175684878.5,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,28346277.65,0,28346277.65,0,0,118216284.9,29122315.95,366493045.9,366493045.9,,,,,,,,,,,,,,,,,,,
 01/02  13:00:00,175684878.5,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,28346277.65,0,28346277.65,0,0,118216284.9,29122315.95,346439017.7,346439017.7,,,,,,,,,,,,,,,,,,,
 01/02  14:00:00,175684878.5,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,28346277.65,0,28346277.65,0,0,118216284.9,29122315.95,342528018.5,342528018.5,,,,,,,,,,,,,,,,,,,
 01/02  15:00:00,175684878.5,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,28346277.65,0,28346277.65,0,0,118216284.9,29122315.95,353757998.4,353757998.4,,,,,,,,,,,,,,,,,,,
 01/02  16:00:00,203248878.5,147338600.8,31932958.07,20396908.88,15966479.03,12749479.02,12749479.02,12749479.02,10198454.44,10198454.44,10198454.44,10198454.44,28346277.65,0,28346277.65,0,0,118216284.9,29122315.95,355451550.8,355451550.8,,,,,,,,,,,,,,,,,,,
