Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:BAKERY [J](Hourly),Electricity:Zone:DELI [J](Hourly),Electricity:Zone:DRYSTORAGE [J](Hourly),Electricity:Zone:OFFICE [J](Hourly),Electricity:Zone:PRODUCE [J](Hourly),Electricity:Zone:SALES [J](Hourly),Electricity:Plant [J](Hourly),Electricity:HVAC [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/01  01:00:00,275615440.1,131809367.9,7315624.381,9944064.569,3673873.923,576493.986,9160608.119,101138702.9,94928872.14,0,0,0,0,12577284.03,24526752.23,6376500,0,6304500,72000,,,,,,,,,,,,,,,,,,,
 01/01  02:00:00,305636182.3,131960551,7315624.381,9944064.569,3673873.923,576493.986,9160608.119,101289886,95517292.48,29281138.81,29281138.81,0,0,12577284.03,24526752.23,54255911.72,47879411.72,6304500,72000,,,,,,,,,,,,,,,,,,,
 01/01  03:00:00,322403743.7,133709037.1,7315624.381,9944064.569,3673873.923,576493.986,9160608.119,103038372.1,95895798.41,43921708.22,43921708.22,0,0,12577284.03,24526752.23,92615858.45,82119666.24,6304500,4191692.21,,,,,,,,,,,,,,,,,,,
 01/01  04:00:00,323724874.7,134592012.3,7315624.381,9944064.569,3673873.923,576493.986,9160608.119,103921347.3,96333954.21,43921708.22,43921708.22,0,0,12577284.03,24526752.23,90609869.43,84233369.43,6304500,72000,,,,,,,,,,,,,,,,,,,
 01/01  05:00:00,333506369,135138168.6,7315624.381,9944064.569,3673873.923,576493.986,9160608.119,104467503.6,120209861.6,29281138.81,29281138.81,0,0,12577284.03,24526752.23,69218845.16,62842345.16,6304500,72000,,,,,,,,,,,,,,,,,,,
 01/01  06:00:00,347485524.8,135182263.5,7315624.381,9944064.569,3673873.923,576493.986,9160608.119,104511598.6,118301170.3,45124890.94,45124890.94,0,0,12577284.03,24526752.23,115631745.4,105135630.9,6304500,4191614.457,,,,,,,,,,,,,,,,,,,
 01/01  07:00:00,448590192.6,173551600.6,14086928.76,19150561.14,7347747.846,1152987.972,13893216.24,117920158.6,123445067,102716325,102716325,0,0,25154568.06,50939904.45,1611939197,1599258197,12609000,72000,,,,,,,,,,,,,,,,,,,
 01/01  08:00:00,469776966.7,173914871.2,14086928.76,19150561.14,7347747.846,1152987.972,13893216.24,118283429.3,156487870.5,102716325,102716325,0,0,25154568.06,50939904.45,1466342070,1453661070,12609000,72000,,,,,,,,,,,,,,,,,,,
 01/01  09:00:00,560459239.5,276900361.2,14086928.76,19150561.14,7347747.846,1152987.972,13893216.24,221268919.2,180842553.3,102716325,102716325,0,0,25154568.06,50939904.45,1297809062,1281008262,12609000,4191799.418,,,,,,,,,,,,,,,,,,,
 01/01  10:00:00,464041124.2,175002376.1,14086928.76,19150561.14,7347747.846,1152987.972,13893216.24,119370934.1,186322423.2,102716325,102716325,0,0,25154568.06,50939904.45,1259964981,1247283981,12609000,72000,,,,,,,,,,,,,,,,,,,
 01/01  11:00:00,589011857.6,320570746.4,30427715.05,36924340.55,18550712.57,3063333.924,34022244.56,197582399.8,165724786.3,102716325,102716325,0,0,100618272.2,99993408.9,1154118159,1124707012,25218000,4193146.715,,,,,,,,,,,,,,,,,,,
 01/01  12:00:00,701177506.9,430362454.1,30427715.05,39033364.55,18550712.57,3063333.924,34022244.56,305265083.4,168098727.8,102716325,102716325,0,0,100618272.2,99993408.9,1113046386,1083635072,25218000,4193314.193,,,,,,,,,,,,,,,,,,,
 01/01  13:00:00,728175379.1,418316500.6,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,250423550.8,207142553.6,102716325,102716325,0,0,150927408.4,132695745.2,1030307081,992489068.5,33624000,4194012.465,,,,,,,,,,,,,,,,,,,
 01/01  14:00:00,720056875,418771968.6,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,250879018.9,198568581.4,102716325,102716325,0,0,150927408.4,132695745.2,1011333014,973515226.5,33624000,4193787.363,,,,,,,,,,,,,,,,,,,
 01/01  15:00:00,705804440.3,418760828.7,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,250867878.9,184327286.7,102716325,102716325,0,0,150927408.4,132695745.2,1008180183,970362167.3,33624000,4194015.222,,,,,,,,,,,,,,,,,,,
 01/01  16:00:00,729733488.7,418645139.8,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,250752190,171714124,102716325,102716325,0,0,150927408.4,132695745.2,1009838774,972020972.9,33624000,4193800.886,,,,,,,,,,,,,,,,,,,
 01/01  17:00:00,741319424.5,418356550.9,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,250463601.1,171369348.7,102716325,102716325,0,0,150927408.4,132695745.2,1013276271,975458491.7,33624000,4193779.001,,,,,,,,,,,,,,,,,,,
 01/01  18:00:00,637390396.3,320751412.1,30427715.05,36924340.55,18550712.57,3063333.924,34022244.56,197763065.4,165045459.3,102716325,102716325,0,0,100618272.2,99993408.9,1185088363,1159798363,25218000,72000,,,,,,,,,,,,,,,,,,,
 01/01  19:00:00,657966926.8,325168469,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,247084725.4,181204932.9,102716325,102716325,0,0,50309136.12,67291072.6,1261123922,1240118793,16812000,4193128.888,,,,,,,,,,,,,,,,,,,
 01/01  20:00:00,585387112.8,221824348.9,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,143740605.3,211969238.9,102716325,102716325,0,0,50309136.12,67291072.6,1296600529,1275595537,16812000,4192992.632,,,,,,,,,,,,,,,,,,,
 01/01  21:00:00,552745611,220788812.9,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,142705069.4,180363273.1,102716325,102716325,0,0,50309136.12,67291072.6,1327346818,1306342222,16812000,4192596.038,,,,,,,,,,,,,,,,,,,
 01/01  22:00:00,500499857.2,220616817.3,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,142533073.8,128289515,102716325,102716325,0,0,50309136.12,67291072.6,1194654945,1177770945,16812000,72000,,,,,,,,,,,,,,,,,,,
 01/01  23:00:00,282055204.6,132482919.8,7315624.381,9944064.569,3673873.923,576493.986,9160608.119,101812254.8,100695084.8,0,0,0,0,12577284.03,24526752.23,10496170.47,0,6304500,4191670.467,,,,,,,,,,,,,,,,,,,
 01/01  24:00:00,410853866.9,242222920.7,7315624.381,12053088.57,3673873.923,576493.986,9160608.119,209443231.7,119753746.2,0,0,0,0,12577284.03,24526752.23,6376500,0,6304500,72000,,,,,,,,,,,,,,,,,,,
 01/02  01:00:00,305177584.1,139649488.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,103054710.4,116650895.7,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/02  02:00:00,325272078.8,138139485,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101544707,94333685.56,43921708.22,43921708.22,0,0,12577284.03,32702336.3,97104095.7,88626095.7,8406000,72000,,,,,,,,,,,,,,,,,,,
