Date/Time,DistrictCooling:Facility [J](Monthly),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](Monthly),DistrictHeating:Facility [J](RunPeriod),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:FREEZER_1 [J](Hourly),Electricity:Zone:FREEZER_2 [J](Hourly),Electricity:Zone:FREEZER_3 [J](Hourly),Electricity:Zone:FREEZER_4 [J](Hourly),Electricity:Zone:FREEZER_5 [J](Hourly),Electricity:Zone:SUBFREEZER [J](Hourly),Electricity:Zone:COOLER_1 [J](Hourly),Electricity:Zone:COOLER_2 [J](Hourly),Electricity:Zone:COOLER_3 [J](Hourly),Electricity:Zone:DOCK [J](Hourly),Electricity:Zone:OFFICE1_LOWER [J](Hourly),Electricity:Zone:OFFICE1_UPPER [J](Hourly),Electricity:Zone:OFFICE2_LOWER [J](Hourly),Electricity:Zone:OFFICE2_UPPER [J](Hourly),Electricity:Zone: [J](Hourly),Electricity:Plant [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,,,,,1170736557,764485371.9,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,707239688.1,402190385.2,4060800
 01/01  02:00:00,,,,,6308849315,5420746058,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,5363500374,884042457.1,4060800
 01/01  03:00:00,,,,,6249812319,5368501850,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,5311256166,877249669.7,4060800
 01/01  04:00:00,,,,,5282011121,4503279347,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,4446033663,774670974.3,4060800
 01/01  05:00:00,,,,,6146613789,5248100393,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,5190854709,894452595.7,4060800
 01/01  06:00:00,,,,,7216684793,6138816619,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,6081570935,1073807374,4060800
 01/01  07:00:00,,,,,6160449838,5159939624,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,5102693940,996449414,4060800
 01/01  08:00:00,,,,,7599404889,6361831234,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,6304585550,1233512855,4060800
 01/01  09:00:00,,,,,6745524777,5622723555,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,5565477871,1118740422,4060800
 01/01  10:00:00,,,,,5651076276,4703156986,10561051.1,2497706.406,2817715.758,2368514.695,7355017.734,2971409.345,5280525.552,1357626.683,1141193.444,14311323.12,1645899.986,1645899.986,1645899.986,1645899.986,4645911302,943858490.7,4060800
