index,Electricity load [MW]
2015-01-01 01:00:00,15557.138
2015-01-01 02:00:00,14727.413
2015-01-01 03:00:00,13979.463
2015-01-01 04:00:00,13453.775
2015-01-01 05:00:00,13306.0
2015-01-01 06:00:00,13175.575
2015-01-01 07:00:00,13165.113000000001
2015-01-01 08:00:00,13029.75
2015-01-01 09:00:00,12945.35
2015-01-01 10:00:00,13454.675
2015-01-01 11:00:00,14094.525
2015-01-01 12:00:00,14717.888
2015-01-01 13:00:00,15188.363000000001
2015-01-01 14:00:00,15637.263
2015-01-01 15:00:00,15698.788
2015-01-01 16:00:00,15882.163
2015-01-01 17:00:00,17216.188000000002
2015-01-01 18:00:00,17645.913
2015-01-01 19:00:00,17543.6
2015-01-01 20:00:00,17552.65
2015-01-01 21:00:00,17264.15
2015-01-01 22:00:00,16559.75
2015-01-01 23:00:00,15860.238000000001
2015-01-02 00:00:00,14705.775
2015-01-02 01:00:00,13720.8
2015-01-02 02:00:00,13258.475
2015-01-02 03:00:00,13010.575
2015-01-02 04:00:00,13006.9
2015-01-02 05:00:00,13241.45
2015-01-02 06:00:00,13985.825
2015-01-02 07:00:00,15719.825
2015-01-02 08:00:00,16899.625
2015-01-02 09:00:00,17782.8
2015-01-02 10:00:00,18763.35
2015-01-02 11:00:00,19358.025
2015-01-02 12:00:00,19743.775
2015-01-02 13:00:00,20030.825
2015-01-02 14:00:00,20491.95
2015-01-02 15:00:00,20393.95
2015-01-02 16:00:00,20516.4
2015-01-02 17:00:00,21503.975
2015-01-02 18:00:00,21448.8
2015-01-02 19:00:00,21109.575
2015-01-02 20:00:00,20924.3
2015-01-02 21:00:00,20286.175
2015-01-02 22:00:00,19113.525
2015-01-02 23:00:00,17908.1
2015-01-03 00:00:00,16641.7
2015-01-03 01:00:00,15491.375
2015-01-03 02:00:00,14866.75
2015-01-03 03:00:00,14559.7
2015-01-03 04:00:00,14399.3
2015-01-03 05:00:00,14584.075
2015-01-03 06:00:00,14754.5
2015-01-03 07:00:00,15689.425
2015-01-03 08:00:00,16285.25
2015-01-03 09:00:00,17005.975
2015-01-03 10:00:00,18138.15
2015-01-03 11:00:00,18846.65
2015-01-03 12:00:00,19193.75
2015-01-03 13:00:00,19228.25
2015-01-03 14:00:00,19455.45
2015-01-03 15:00:00,19216.575
2015-01-03 16:00:00,19568.15
2015-01-03 17:00:00,20674.05
2015-01-03 18:00:00,20548.275
2015-01-03 19:00:00,20469.95
2015-01-03 20:00:00,20157.95
2015-01-03 21:00:00,19535.675
2015-01-03 22:00:00,18337.525
2015-01-03 23:00:00,17324.4
2015-01-04 00:00:00,16106.925
2015-01-04 01:00:00,15072.2
2015-01-04 02:00:00,14350.25
2015-01-04 03:00:00,13946.2
2015-01-04 04:00:00,13792.85
2015-01-04 05:00:00,13817.225
2015-01-04 06:00:00,13964.8
